Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2301268,00000080,false,Rx,1,8,C7,10,00,00,00,00,00,15,
2301270,0000041A,false,Rx,2,8,00,00,88,13,F4,00,00,9A,
2301272,0000041B,false,Rx,2,8,10,00,00,00,30,75,00,C9,
2301273,0000041C,false,Rx,2,8,00,00,00,00,01,00,00,EE,
2301274,0000041D,false,Rx,2,8,00,00,10,27,00,00,00,75,
2301276,0000041E,false,Rx,2,8,00,00,00,00,00,00,00,59,
2303000,00000110,false,Rx,1,8,00,00,00,00,00,00,00,00,
2306000,000003C3,false,Rx,0,6,00,07,00,00,00,04,00,00,
2311000,000003D2,false,Rx,0,6,04,07,00,00,00,68,00,00,
75853000,00000162,false,Rx,1,8,D1,C0,00,00,00,00,E0,08,
75855000,00000172,false,Rx,1,8,31,32,31,32,3E,00,E0,6A,
75855003,00000082,false,Rx,1,8,C7,10,00,50,00,00,20,E9,
75856000,000003C3,false,Rx,0,6,00,02,FF,FF,FF,F2,00,00,
75857000,00000171,false,Rx,1,8,32,32,32,32,3D,00,E0,10,
75859000,00000105,false,Rx,1,8,00,00,00,00,00,00,40,A0,
75861001,00000123,false,Rx,1,8,14,10,14,10,14,10,E0,6E,
75863000,00000143,false,Rx,1,8,0D,10,16,10,15,10,E0,47,
75865000,00000163,false,Rx,1,8,BA,C0,00,00,00,00,E0,E9,
75866000,000003C3,false,Rx,0,6,00,03,FF,FF,FF,F7,00,00,
75867000,00000173,false,Rx,1,8,32,32,32,32,3F,00,E0,D9,
75868000,00000083,false,Rx,1,8,C7,10,00,50,00,00,20,8C,
75869000,00000103,false,Rx,1,8,00,00,00,00,00,00,40,E3,
75871000,00000115,false,Rx,1,8,11,00,00,00,00,00,00,00,
75873000,00000100,false,Rx,1,8,00,00,00,00,00,00,20,D8,
75875000,00000125,false,Rx,1,8,19,10,1E,10,1A,10,E0,61,
75876000,000003C3,false,Rx,0,6,00,04,FF,FF,FF,ED,00,00,
75877000,00000116,false,Rx,1,8,11,00,00,00,00,00,00,00,
75879000,00000135,false,Rx,1,8,18,10,10,10,18,10,E0,37,
75881001,00000145,false,Rx,1,8,1A,10,1B,10,16,10,E0,17,
75881004,00000084,false,Rx,1,8,C7,10,00,50,00,00,20,AA,
75883000,00000155,false,Rx,1,8,19,10,18,10,0A,10,E0,42,
75885000,00000165,false,Rx,1,8,1F,C1,00,00,00,00,E0,16,
75886000,000003C3,false,Rx,0,6,00,05,FF,FF,FF,FA,00,00,
75887000,00000175,false,Rx,1,8,31,31,31,31,3C,00,E0,3F,
75889000,00000107,false,Rx,1,8,00,00,00,00,00,00,50,A7,
75889003,00000437,false,Rx,2,8,01,00,00,00,6C,02,08,10,
75891000,00000126,false,Rx,1,8,11,10,17,10,12,10,E0,0D,
75893001,00000136,false,Rx,1,8,10,10,12,10,0A,10,E0,85,
75894000,00000085,false,Rx,1,8,C7,10,00,50,00,00,20,CF,
75895000,00000146,false,Rx,1,8,15,10,16,10,18,10,E0,45,
75896000,000003C3,false,Rx,0,6,00,06,FF,FF,FF,FB,00,00,
75897000,00000156,false,Rx,1,8,0D,10,14,10,16,10,E0,ED,
75899000,00000166,false,Rx,1,8,F8,C0,00,00,00,00,E0,61,
75901000,000003D2,false,Rx,0,6,04,07,00,00,00,69,00,00,
75901001,00000106,false,Rx,1,8,00,00,00,00,00,00,50,C2,
75901010,0000041A,false,Rx,2,8,7E,0D,87,13,CB,CE,00,8B,
75901018,0000041B,false,Rx,2,8,31,32,00,05,2F,75,00,6D,
75901019,0000041C,false,Rx,2,8,F4,01,00,00,07,18,00,A7,
75901020,0000041D,false,Rx,2,8,45,25,10,27,00,02,00,6B,
75901021,0000041E,false,Rx,2,8,00,00,00,00,02,6C,00,A6,
75903000,00000176,false,Rx,1,8,32,32,32,32,3D,00,E0,36,
75905000,00000117,false,Rx,1,8,11,00,00,00,00,00,00,00,
75906000,000003C3,false,Rx,0,6,00,07,FF,FF,FF,F8,00,00,
75907000,00000105,false,Rx,1,8,00,00,00,00,00,00,50,6D,
75907003,00000086,false,Rx,1,8,C7,10,00,50,00,00,20,60,
75909000,00000127,false,Rx,1,8,F8,0F,F8,0F,F4,0F,E0,E8,
75911000,00000137,false,Rx,1,8,F4,0F,F7,0F,F5,0F,E0,BE,
75913000,00000102,false,Rx,1,8,00,00,00,00,00,00,50,4B,
75915000,00000147,false,Rx,1,8,F6,0F,F2,0F,F7,0F,E0,82,
75916000,000003C3,false,Rx,0,6,00,08,00,00,00,02,00,00,
75917000,00000157,false,Rx,1,8,F7,0F,F7,0F,F6,0F,E0,91,
